id,order_id,nps_score
1,64915,6
2,30995,5
3,11263,8
4,62365,9
5,76126,10
6,17319,10
7,6924,10
8,44440,7
9,79829,10
10,37985,6
11,19106,1
12,51097,10
13,94381,6
14,84280,8
15,13842,2
16,87756,10
17,96475,4
18,95206,10
19,97378,0
20,87331,3
21,50625,7
22,735,5
23,11627,8
24,69011,10
25,47460,0
26,32496,9
27,31061,9
28,70493,5
29,40175,2
30,64187,0
31,25587,2
32,54184,9
33,58815,4
34,599,5
35,84474,0
36,64759,10
37,20334,9
38,24354,2
39,7439,7
40,14679,10
41,55337,10
42,40221,3
43,40900,10
44,84723,9
45,76508,6
46,48138,8
47,71723,5
48,83488,0
49,82190,9
50,60153,3
51,11989,10
52,27060,10
53,40636,10
54,10965,10
55,10042,1
56,12863,4
57,66818,8
58,68531,10
59,65152,8
60,59255,3
61,1315,7
62,49107,0
63,56656,0
64,32064,7
65,36326,2
66,50953,7
67,10217,4
68,78697,8
69,64252,10
70,47990,6
71,32188,9
72,12758,10
73,7036,5
74,57937,1
75,60147,10
76,43648,9
77,56368,10
78,68895,9
79,61306,4
80,23186,5
81,54413,2
82,46794,9
83,75279,6
84,32439,7
85,19114,10
86,18598,9
87,10885,9
88,28724,0
89,50023,8
90,54562,6
91,7571,8
92,97014,9
93,13165,4
94,38876,9
95,62592,10
96,51386,5
97,80262,9
98,29259,10
99,37448,10
100,83517,1
101,27515,8
102,66165,8
103,7138,8
104,97862,10
105,4063,10
106,27773,9
107,86807,10
108,3069,5
109,49322,3
110,11580,2
111,25662,7
112,92594,8
113,96947,6
114,76860,10
115,95288,8
116,30107,4
117,29532,4
118,63281,3
119,81567,0
120,7186,8
121,21979,0
122,24477,3
123,28736,1
124,8206,10
125,76021,4
126,70055,5
127,28771,10
128,15371,2
129,73831,10
130,13825,1
131,93311,10
132,37330,10
133,59131,10
134,43723,0
135,21869,10
136,43131,10
137,21220,7
138,62134,5
139,43284,9
140,15647,10
141,44803,6
142,39770,7
143,22890,9
144,26676,9
145,93861,7
146,7512,6
147,24799,7
148,887,0
149,63979,10
150,84441,10
151,28240,8
152,39761,10
153,15187,0
154,72795,10
155,13743,10
156,17422,6
157,34898,4
158,75281,6
159,49916,8
160,82937,9
161,64446,2
162,57330,0
163,51989,8
164,14538,10
165,60709,9
166,71812,7
167,8485,8
168,57271,7
169,5733,9
170,81090,7
171,43444,10
172,3414,8
173,83231,1
174,30279,1
175,94069,10
176,55636,10
177,91964,10
178,27161,7
179,50943,8
180,37428,7
181,45672,0
182,13702,9
183,76273,9
184,18405,10
185,42208,1
186,29342,8
187,68932,0
188,66785,8
189,51065,9
190,64244,10
191,76872,9
192,19707,10
193,37483,8
194,16861,9
195,16450,10
196,52600,1
197,36765,6
198,88676,5
199,42357,3
200,54415,1
201,43141,8
202,99068,10
203,29912,6
204,71038,3
205,59382,0
206,51914,10
207,68924,10
208,39818,10
209,24703,9
210,57131,6
211,42332,7
212,49497,10
213,95217,8
214,19524,3
215,53380,6
216,6069,9
217,59374,6
218,6877,10
219,61,8
220,59848,1
221,7045,10
222,29636,1
223,97291,4
224,31938,10
225,81021,3
226,25945,3
227,56645,10
228,63254,4
229,65639,7
230,32784,8
231,6121,9
232,31624,3
233,13399,9
234,92327,7
235,29486,3
236,53615,10
237,57411,1
238,63636,5
239,1096,10
240,58083,10
241,15542,7
242,74128,4
243,71126,9
244,52013,7
245,86289,10
246,50717,5
247,59680,0
248,90115,10
249,40185,7
250,89812,6
251,35930,0
252,79580,0
253,60895,4
254,45092,8
255,84648,8
256,88150,10
257,8893,3
258,77211,0
259,25610,5
260,21827,2
261,20260,8
262,43433,10
263,38308,6
264,61476,7
265,994,9
266,65366,8
267,5643,0
268,82923,7
269,24653,10
270,84814,0
271,89010,2
272,88088,10
273,84151,10
274,49666,10
275,78131,8
276,5588,7
277,85836,0
278,82150,3
279,26377,10
280,43015,8
281,20602,10
282,67732,10
283,79798,6
284,48638,9
285,67965,3
286,23347,6
287,99762,6
288,68708,7
289,42207,10
290,47305,2
291,74845,10
292,51066,9
293,57950,7
294,74930,3
295,34957,10
296,95414,9
297,28172,8
298,322,10
299,41479,8
300,30085,8
301,7680,7
302,13700,7
303,98734,3
304,39224,0
305,59665,6
306,5898,8
307,28991,4
308,63489,4
309,48205,10
310,1230,5
311,15050,8
312,8993,4
313,28296,7
314,26827,10
315,44025,4
316,46778,8
317,75210,10
318,66527,4
319,6636,5
320,56994,7
321,209,0
322,65785,6
323,84665,7
324,55073,10
325,64375,8
326,35414,5
327,18177,10
328,58198,7
329,81181,0
330,22105,9
331,76057,9
332,35950,7
333,6072,5
334,76895,3
335,95362,10
336,57764,2
337,55958,4
338,25425,0
339,95537,10
340,59575,2
341,46509,4
342,45131,10
343,49930,10
344,21776,3
345,91882,7
346,31611,2
347,14860,9
348,68148,10
349,17281,8
350,25322,6
351,88532,7
352,56758,10
353,15343,0
354,18038,10
355,13973,8
356,55987,2
357,22385,10
358,42493,3
359,10615,3
360,59929,4
361,38403,5
362,42133,3
363,45789,10
364,1200,0
365,3107,10
366,96769,3
367,53893,10
368,34188,9
369,29110,5
370,44252,10
371,12814,10
372,92007,5
373,13133,9
374,43597,6
375,78041,0
376,93151,10
377,98511,9
378,13599,4
379,57314,4
380,56089,4
381,46360,4
382,87047,8
383,8864,10
384,1398,3
385,88793,8
386,87126,9
387,86202,7
388,68653,7
389,70224,8
390,10491,1
391,14180,4
392,63747,9
393,95659,8
394,82822,8
395,83139,2
396,10315,3
397,68112,9
398,56926,1
399,29447,6
400,47038,6
401,20147,8
402,21328,5
403,11477,10
404,74733,2
405,17437,0
406,89283,9
407,10464,0
408,49714,4
409,6260,3
410,81670,7
411,67601,1
412,46406,9
413,73966,4
414,87922,8
415,84307,0
416,46719,0
417,43437,0
418,69890,10
419,13509,9
420,51612,5
421,15491,4
422,10550,9
423,34391,7
424,79931,4
425,34310,10
426,10180,9
